Area,Month,Burglary,Theft,Robbery,GBV,Narcotics
Rangpur div,202401,4,60,2,117,436
Rangpur div,202402,9,71,3,134,434
Rangpur div,202403,5,63,7,203,535
Rangpur div,202404,7,73,2,211,432
Rangpur div,202405,2,56,2,222,449
Rangpur div,202406,10,57,5,184,465
Rangpur div,202407,6,72,2,206,417
Rangpur div,202408,6,32,4,190,125
Rangpur div,202409,12,47,3,235,213
Rangpur div,202410,7,75,7,177,367
Rangpur div,202411,7,54,4,175,405
Rangpur div,202412,5,59,7,146,453
Rangpur div,202501,15,67,6,194,423
Rangpur div,202502,14,69,6,171,408
Rangpur div,202503,13,80,10,218,395
Rangpur div,202504,5,60,4,213,432
Rangpur div,202505,16,46,4,236,377
Rangpur div,202506,12,77,3,290,399
Rangpur div,202507,24,72,5,287,446
